"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2012"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Tuunaansaari";210;1.16;181.0
"Tuupovaaran kk.";592;2.05;288.8
"Tuuri";773;3.94;196.2
"Tuusniemen kk.";1086;2.85;381.1
"Tyrnävän kk.";2843;6.94;409.7
"Töysän kk.";922;4.03;228.8
"Uimaharju";1529;5.69;268.7
"Untamala";339;3.37;100.6
"Uotsola";1093;3.66;298.6
"Urjalan kk.";2453;8.11;302.5
"Utajärven kk.";1385;4.60;301.1
"Utsjoen kk.";337;1.58;213.3
"Utti";445;2.42;183.9
"Uudenkaarlepyyn kt.";3286;6.87;478.3
"Uudenkaupungin kt.";10029;17.46;574.4
"Uuraisten kk.";1121;3.94;284.5
"Vaalan kk.";1349;2.84;475.0
"Vaasan kt.";65414;66.65;981.5
"Vahdon kk.";1117;3.63;307.7
"Valkeakosken kt.";17141;19.23;891.4
"Vallgrund";539;5.06;106.5
"Valtimon kk.";1128;3.45;327.0
"Vammalan kt.";10289;18.20;565.3
"Vampulan kk.";485;2.41;201.2
"Varkauden kt.";20275;31.75;638.6
"Varpaisjärven kk.";1221;3.16;386.4
"Vartsala";251;1.25;200.8
"Vasarainen";400;3.69;108.4
"Vasarla";282;1.94;145.4
"Vaskiluoto";349;2.46;141.9
"Vaskio";309;1.44;214.6
"Vastamäki";555;3.41;162.8
"Vattukylä";243;1.75;138.9
"Vaulammi";205;1.81;113.3
"Vehmersalmen kk.";607;1.12;542.0
"Veikkaala";207;1.00;207.0
"Veikkola";6500;19.64;331.0
"Veneskoski";251;1.55;161.9
"Vesala";692;2.01;344.3
"Vesanka";796;4.43;179.7
"Vesannon kk.";899;2.77;324.5
"Vesilahden kk.";1617;4.24;381.4
"Vesivehmaa";376;3.56;105.6
"Vieremän kk.";1470;2.55;576.5
"Vierumäki";442;2.44;181.1
"Vihannin kk.";1209;3.47;348.4
"Vihdin kk.";3654;5.56;657.2
"Viialan kk.";5507;11.58;475.6
"Viinijärvi";854;3.40;251.2
"Viitasaaren kt.";3877;6.36;609.6
"Viitikko";211;1.25;168.8
"Vikby";443;3.88;114.2
"Viljakkalan kk.";579;2.13;271.8
"Vilniemi";509;1.26;404.0
"Vimpelin kk.";2146;9.73;220.6
"Vinkkilä";1062;6.12;173.5
"Virenoja";258;2.27;113.7
"Virojoki";1328;5.42;245.0
"Virolainen";593;0.86;689.5
"Virtain kt.";3809;9.49;401.4
"Virtasalmen kk.";276;0.96;287.5
"Virttaa";241;1.50;160.7
"Visulahti";877;3.82;229.6
"Visuvesi";371;1.96;189.3
"Voolahti";277;1.89;146.6
"Vuokatti";6187;12.28;503.8
"Vuolijoen kk.";417;1.40;297.9
"Vähäkangas";263;1.50;175.3
"Vähäkyrön kk.";3578;18.97;188.6
"Västerhankmo";1641;7.86;208.8
"Vääksy";4961;8.74;567.6
"Vöyrin kk.";1774;8.56;207.2
"Ylihärmän kk.";2099;7.80;269.1
"Yli-Iin kirkons.";726;2.39;303.8
"Ylikiimingin kk.";375;1.47;255.1
"Ylikylä";279;1.49;187.2
"Ylimarkku";510;3.28;155.5
"Yliskulma";233;2.13;109.4
"Ylistaron kk.";2592;12.24;211.8
"Ylitornion kk.";2092;6.67;313.6
"Ylivieskan kt.";11721;26.59;440.8
"Ylämaan kk.";445;1.80;247.2
"Yläneen kk.";946;3.97;238.3
"Yppäri";350;2.88;121.5
"Ypäjän kk.";985;3.80;259.2
"Äetsän kk.";2334;9.72;240.1
"Ähtärin kt.";3649;7.31;499.2
"Äkäslompolo";460;5.10;90.2
"Ämmänsaari";4406;8.50;518.4
"Äystö";280;2.38;117.6
"Äänekosken kt.";8962;10.28;871.8
"Ödkarby";344;2.71;126.9
"Överesse";794;4.97;159.8
