"14x5 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2023"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2023";"Imatran kt.";25718;54.12;475.2
"2023";"Inarin kk.";661;3.03;218.2
"2023";"Inkere";647;2.43;266.3
"2023";"Inkeroinen";4298;13.29;323.4
"2023";"Inkoon kk.";2273;8.12;279.9
"2023";"Irjanne";268;2.69;99.6
"2023";"Isnäs";320;1.70;188.2
"2023";"Isojoen kk.";761;3.74;203.5
"2023";"Isokoski";350;2.73;128.2
"2023";"Isokylä - Kallaanvaara";945;4.35;217.2
"2023";"Isokylä - Naantali";430;2.08;206.7
"2023";"Isokyrön kk.";2219;11.89;186.6
"2023";"Iso-Vimma";467;3.80;122.9
"2023";"Ivalo";3046;7.72;394.6
"2023";"Jaalan kk.";541;2.31;234.2
"2023";"Jalasjärven kk.";3213;10.23;314.1
"2023";"Janakkalan kk.";267;2.11;126.5
"2023";"Jepuan as. seutu";471;3.64;129.4
"2023";"Joensuun kt.";74508;81.01;919.7
"2023";"Jokela (Tuusula)";6557;10.39;631.1
"2023";"Jokimaa - Vestra";295;1.29;228.7
"2023";"Jokipii";247;1.85;133.5
"2023";"Joroisten kk.";1776;5.58;318.3
"2023";"Joutsan kk.";2040;5.56;366.9
"2023";"Joutsenon kk.";6558;16.71;392.5
"2023";"Juankosken kirkons.";1769;6.43;275.1
"2023";"Jurvan kk.";1699;8.91;190.7
"2023";"Juuan kk.";1987;6.70;296.6
"2023";"Juvan kk.";2898;6.64;436.4
"2023";"Jyrinki";326;2.40;135.8
"2023";"Jyväskylän kt.";134804;113.14;1191.5
"2023";"Jäkärlä";3509;7.91;443.6
"2023";"Jämijärven kk.";611;2.92;209.2
"2023";"Jämsän kt.";11774;30.66;384.0
"2023";"Jäppilän kk.";262;1.11;236.0
"2023";"Järvelä";2468;8.87;278.2
"2023";"Järvensuu";1171;4.44;263.7
"2023";"Järvikylä (Nivala)";406;2.94;138.1
"2023";"Järvikylä (Sievi)";276;2.18;126.6
"2023";"Kaanaa";874;4.34;201.4
"2023";"Kaasmarkku";219;1.24;176.6
"2023";"Kaavin kk.";1158;3.18;364.2
"2023";"Kaipiaisten as.seutu";206;1.69;121.9
"2023";"Kaipola";944;5.21;181.2
"2023";"Kaivola";920;2.73;337.0
"2023";"Kajaanin kt.";29538;29.72;993.9
"2023";"Kakkuri";207;2.31;89.6
"2023";"Kalajoen kk.";7353;28.55;257.5
"2023";"Kalanti";1129;3.71;304.3
"2023";"Kangasniemen kk.";2580;5.98;431.4
"2023";"Kankaanpää (Köyliö)";495;3.45;143.5
"2023";"Kankaanpään kt.";7545;16.52;456.7
"2023";"Kannonkosken kk.";426;1.99;214.1
"2023";"Kannuksen kt.";3705;13.32;278.2
"2023";"Karijoen kk.";471;3.17;148.6
"2023";"Karjaan kt.";7704;14.43;533.9
"2023";"Karjalohjan kk.";631;3.20;197.2
"2023";"Karkkilan kt.";7287;15.87;459.2
"2023";"Karkku";545;3.32;164.2
"2023";"Karstulan kk.";1855;5.29;350.7
"2023";"Karttulan kk.";791;2.80;282.5
"2023";"Karunki";453;2.14;211.7
"2023";"Karvian kk.";764;2.92;261.6
"2023";"Karvoskylä - Jokikylä";238;3.26;73.0
"2023";"Kaskisten kt.";1203;3.15;381.9
"2023";"Kasuri";329;1.95;168.7
"2023";"Kattby";390;1.68;232.1
"2023";"Kauhajoen kt.";8256;34.14;241.8
"2023";"Kauhavan kt.";5476;22.12;247.6
"2023";"Kaukjärvi";226;2.52;89.7
"2023";"Kaukonen";242;1.77;136.7
"2023";"Kausala";3558;9.50;374.5
"2023";"Kaustisen kk.";4400;22.25;197.8
"2023";"Keikyä";1911;8.61;222.0
"2023";"Keiteleen kk.";991;3.32;298.5
"2023";"Kemie";1414;4.74;298.3
"2023";"Kemijärven kt.";3905;9.60;406.8
"2023";"Kemin kt.";24568;50.14;490.0
"2023";"Kemiön kk.";1281;5.81;220.5
"2023";"Kepola - Pajula";692;4.37;158.4
"2023";"Kerimäen kk.";2075;5.05;410.9
"2023";"Kerkkoo";743;5.05;147.1
"2023";"Kestilän kk.";430;2.36;182.2
"2023";"Kesälahden kk.";844;3.03;278.5
"2023";"Keuruun kt.";5762;9.06;636.0
"2023";"Kihniön kk.";596;2.53;235.6
"2023";"Kiihtelysvaaran kk.";468;1.93;242.5
"2023";"Kiikalan kk.";269;1.19;226.1
"2023";"Kiikka";1066;4.91;217.1
"2023";"Kiikoisten kk.";509;3.29;154.7
"2023";"Kiimingin kk.";5549;15.33;362.0
"2023";"Kilvakkala";267;1.68;158.9
"2023";"Kinnulan kk.";806;3.30;244.2
"2023";"Kinnulanlahti";205;1.75;117.1
"2023";"Kintaus";266;1.42;187.3
"2023";"Kipuksenkulma";207;1.56;132.7
"2023";"Kirkkoaho";613;4.04;151.7
"2023";"Kirkkonummen kk.";20514;39.12;524.4
"2023";"Kiteen kt.";4404;9.52;462.6
"2023";"Kittilän kk.";2225;4.59;484.7
"2023";"Kitula";571;2.10;271.9
"2023";"Kiuruveden kt.";3749;7.20;520.7
"2023";"Kivijärven kk.";523;2.43;215.2
"2023";"Kiviniemenmäki";293;2.50;117.2
"2023";"Klamila";279;2.80;99.6
"2023";"Knivsund";260;2.41;107.9
"2023";"Knuuttila";334;3.70;90.3
"2023";"Kodisjoen kk.";314;2.55;123.1
"2023";"Koivulahti";1809;9.27;195.1
"2023";"Kokemäen kt.";3964;15.04;263.6
"2023";"Kokkolan kt.";37591;50.65;742.2
"2023";"Kolarin kk.";1039;3.63;286.2
"2023";"Kolho";712;3.97;179.3
"2023";"Kolla";461;5.18;89.0
"2023";"Kolmiranta";556;2.91;191.1
"2023";"Kolppi";3905;21.68;180.1
"2023";"Konginkangas";428;1.37;312.4
"2023";"Konneveden kk.";1001;3.73;268.4
"2023";"Kontiolahden kk.";3373;9.79;344.5
"2023";"Kontiomäki";384;1.87;205.3
"2023";"Koria";3726;7.79;478.3
"2023";"Korkeakoski";730;4.27;171.0
"2023";"Koroiskylä";241;2.91;82.8
"2023";"Korpilahden kk.";2388;6.66;358.6
"2023";"Korppoon kk.";233;1.79;130.2
"2023";"Korsnäsin kk.";685;3.43;199.7
"2023";"Kortesjärven kk.";538;3.61;149.0
"2023";"Kosken tl. kk.";1161;4.35;266.9
"2023";"Koskenkylä (Loviisa)";1024;4.25;240.9
"2023";"Koskenkylä (Vesilahti)";297;1.68;176.8
"2023";"Koski (Ulvila)";343;1.79;191.6
"2023";"Kotkan kt.";48835;69.59;701.8
"2023";"Kouvolan kt.";46023;61.42;749.3
"2023";"Kristiinankaupungin kt.";2594;6.26;414.4
"2023";"Kruunupyyn kk.";1746;8.73;200.0
"2023";"Kuggom";257;3.23;79.6
"2023";"Kuhmalahden kk.";316;2.56;123.4
"2023";"Kuhmoisten kk.";1143;4.38;261.0
"2023";"Kuhmon kt.";4822;9.13;528.1
"2023";"Kulho";740;5.64;131.2
"2023";"Kulloo";489;4.56;107.2
"2023";"Kuluntalahti";486;2.00;243.0
"2023";"Kunnarla";303;2.16;140.3
"2023";"Kuohu";372;2.02;184.2
"2023";"Kuopion kt.";96796;54.71;1769.3
"2023";"Kuortaneen kk.";1246;4.66;267.4
"2023";"Kuortti";239;1.92;124.5
"2023";"Kurenalus";3754;8.23;456.1
"2023";"Kurkimäki";727;2.30;316.1
"2023";"Kurun kk.";917;3.73;245.8
"2023";"Kustavin kk.";347;1.85;187.6
"2023";"Kuukanniemi";618;1.31;471.8
"2023";"Kuusa";213;2.06;103.4
"2023";"Kuusamon kt.";8258;15.92;518.7
"2023";"Kuusjoen kk.";505;1.87;270.1
"2023";"Kuusjärvi";226;2.25;100.4
"2023";"Kuvansi";893;3.65;244.7
"2023";"Kylmäkosken kirkons.";629;2.44;257.8
"2023";"Kyläsaari-Pihlava";5981;18.43;324.5
"2023";"Kyrö";1750;5.43;322.3
"2023";"Kyröskoski";6629;15.66;423.3
"2023";"Kytäjärvi";220;0.77;285.7
"2023";"Kyyjärven kk.";661;3.55;186.2
"2023";"Kälviän kirkons.";2295;8.47;271.0
"2023";"Kämmenniemi";872;1.30;670.8
"2023";"Kärjenniemi";744;2.66;279.7
"2023";"Kärsämäen kk.";1102;4.86;226.7
"2023";"Käärmelahti";484;3.15;153.7
"2023";"Lahden kt.";120334;118.95;1011.6
"2023";"Laihian kk.";6356;23.98;265.1
"2023";"Laitilan kt.";5710;18.32;311.7
"2023";"Lammin kk.";2656;6.25;425.0
"2023";"Langansböle";824;2.63;313.3
"2023";"Lapin kk.";1448;6.26;231.3
"2023";"Lapinjärven kk.";679;2.55;266.3
"2023";"Lapinkylä";877;8.06;108.8
"2023";"Lapinlahden kk.";3483;8.11;429.5
"2023";"Lappajärven kk.";1502;9.36;160.5
"2023";"Lappeenrannan kt.";56949;54.77;1039.8
"2023";"Lappila";240;1.69;142.0
"2023";"Lappohja";429;1.94;221.1
"2023";"Lapuan kt.";10802;30.10;358.9
"2023";"Lapväärtti";1408;10.93;128.8
"2023";"Laukaan kk.";8332;20.83;400.0
"2023";"Laukkoski";399;3.79;105.3
"2023";"Launonen";1196;4.37;273.7
"2023";"Lauttakylä";6457;22.22;290.6
"2023";"Lavian kk.";735;3.10;237.1
"2023";"Lehtimäki";585;3.94;148.5
"2023";"Leivonmäen kk.";329;1.50;219.3
"2023";"Lemin kk.";667;1.51;441.7
"2023";"Lemströms kanal";226;1.91;118.3
"2023";"Lemun kk.";1361;6.99;194.7
