"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2017"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys asukasta/km²"
"2017";"Sukeva";390;1.77;220.5
"2017";"Sulkavan kk.";1079;3.47;311.1
"2017";"Sumiaisten kk.";430;1.40;307.9
"2017";"Sundom-Sulva";3865;17.13;225.7
"2017";"Suolahden kt.";4151;8.65;479.7
"2017";"Suomenlinna";743;0.63;1187.8
"2017";"Suomussalmen kk.";876;2.06;424.5
"2017";"Suonenjoen kt.";5200;12.06;431.3
"2017";"Syrjäntaka";531;2.37;223.9
"2017";"Sysmän kk.";1986;6.31;314.5
"2017";"Syvänniemi";227;1.28;177.2
"2017";"Säkylän kk.";2991;10.38;288.0
"2017";"Sälinkää";242;1.63;148.9
"2017";"Särkisalmi";415;2.85;145.7
"2017";"Sääksjärvi";283;2.94;96.3
"2017";"Söderby";571;4.33;132.0
"2017";"Söderkulla";9158;39.08;234.3
"2017";"Söörmarkku";607;3.13;194.2
"2017";"Taalintehdas";1137;3.64;312.1
"2017";"Taavetti";2126;5.45;390.4
"2017";"Taipalsaaren kk.";906;2.91;311.3
"2017";"Taivalkosken kk.";1886;5.65;333.9
"2017";"Taivassalon kk.";640;3.06;209.0
"2017";"Takamaa";531;3.05;174.0
"2017";"Tammisaaren kt.";8614;12.51;688.4
"2017";"Tammisilta";228;2.31;98.6
"2017";"Tampereen kt.";334112;276.23;1209.5
"2017";"Tarvasjoen kk.";864;3.24;266.3
"2017";"Teerijärvi";1008;5.22;193.2
"2017";"Teijo";365;2.28;160.3
"2017";"Tenhola";746;3.00;248.7
"2017";"Teponmäki";418;3.29;126.9
"2017";"Tervakoski";4063;8.77;463.3
"2017";"Tervolan kk.";987;3.18;310.1
"2017";"Tervon kk.";560;1.75;319.5
"2017";"Tesjoki";914;2.68;340.9
"2017";"Teuvan kk.";2778;15.55;178.7
"2017";"Tiistenjoki";231;2.04;113.0
"2017";"Tikkakoski";4183;5.87;712.7
"2017";"Tiukka";242;1.92;126.0
"2017";"Toholammin kk.";1642;7.53;218.0
"2017";"Toija";539;1.96;274.6
"2017";"Toijalan kt.";8379;16.35;512.6
"2017";"Toivakan kk.";1004;3.46;289.9
"2017";"Toivala - Vuorela";5677;10.49;541.0
"2017";"Tolpanniemi";1210;2.07;584.7
"2017";"Torkkola";200;1.99;100.7
"2017";"Tornion kt.";16885;35.95;469.6
"2017";"Tottijärvi";209;1.61;130.2
"2017";"Träskby";579;5.45;106.3
"2017";"Tupos";2919;4.99;585.0
"2017";"Turenki";7550;13.79;547.4
"2017";"Turun kt.";272230;280.82;969.4
"2017";"Tuunaansaari";208;1.22;170.5
"2017";"Tuupovaaran kk.";497;2.05;242.3
"2017";"Tuuri";783;4.32;181.1
"2017";"Tuusniemen kk.";1034;2.95;350.2
"2017";"Tyrnävän kk.";3137;7.06;444.2
"2017";"Tölby";480;4.25;112.9
"2017";"Töysän kk.";890;5.02;177.2
